Date,A&E near me,Accident,Ambulance,emergency symptoms,Flu Symptoms,hospital waiting times,NHS 111,stroke
2019-04-01,63,77,66,43,17,34,5,61
2019-05-01,55,81,75,53,13,32,5,57
2019-06-01,56,83,71,39,12,32,6,63
2019-07-01,61,84,71,51,11,37,5,71
2019-08-01,72,83,62,48,11,38,5,57
2019-09-01,65,86,66,41,18,38,6,51
2019-10-01,60,100,66,46,26,37,6,50
2019-11-01,58,94,65,50,35,46,6,50
2019-12-01,58,91,58,53,55,44,8,47
2020-01-01,53,90,63,53,40,46,8,51
2020-02-01,60,91,64,55,44,43,8,50
2020-03-01,45,63,67,94,84,30,100,44
2020-04-01,28,46,74,52,18,16,30,54
2020-05-01,30,54,58,44,9,15,14,68
2020-06-01,31,61,70,43,7,18,9,62
2020-07-01,40,76,72,45,8,22,9,56
2020-08-01,57,86,60,39,9,26,11,61
2020-09-01,60,87,71,49,24,23,13,50
2020-10-01,54,84,72,54,28,25,10,51
2020-11-01,40,70,66,51,20,19,9,49
2020-12-01,47,72,57,47,25,25,8,47
2021-01-01,34,57,72,55,19,24,11,52
2021-02-01,34,54,62,50,13,20,8,52
2021-03-01,45,55,62,55,12,23,8,56
2021-04-01,56,62,68,54,10,27,8,62
2021-05-01,63,65,67,63,11,37,9,63
2021-06-01,80,69,68,56,12,40,10,75
2021-07-01,88,72,67,61,13,44,12,81
2021-08-01,90,78,77,61,15,45,11,54
2021-09-01,88,75,77,56,24,47,11,55
2021-10-01,83,70,73,57,35,48,12,54
2021-11-01,77,68,69,60,30,45,11,53
2021-12-01,77,59,58,78,32,50,14,47
2022-01-01,63,69,68,75,20,48,13,54
2022-02-01,63,63,64,74,16,57,10,57
2022-03-01,78,67,86,63,21,59,11,67
2022-04-01,76,68,86,69,16,56,12,63
2022-05-01,80,71,78,60,13,57,10,68
2022-06-01,85,74,72,77,14,69,11,76
2022-07-01,88,83,71,79,14,72,11,100
2022-08-01,83,89,81,61,13,69,10,72
2022-09-01,75,74,70,69,21,66,10,59
2022-10-01,81,71,70,76,37,67,11,59
2022-11-01,82,66,76,69,41,63,11,55
2022-12-01,100,76,100,100,100,99,23,53
2023-01-01,77,74,86,70,37,93,13,62
2023-02-01,71,66,75,67,25,70,11,61
2023-03-01,68,72,69,73,21,69,10,60
2023-04-01,76,78,61,93,15,72,11,64
2023-05-01,77,76,64,77,14,73,10,80
2023-06-01,78,89,64,59,10,74,10,89
2023-07-01,72,78,62,75,14,72,9,60
2023-08-01,79,81,65,71,13,69,9,61
2023-09-01,81,76,65,77,18,67,9,67
2023-10-01,69,73,62,77,26,68,9,58
2023-11-01,72,73,59,73,26,64,8,57
2023-12-01,76,72,53,83,38,74,10,59
2024-01-01,75,63,73,80,32,77,9,61
2024-02-01,69,65,79,75,27,76,9,62
2024-03-01,76,68,66,68,22,77,9,60
2024-04-01,71,63,68,77,17,69,9,68
2024-05-01,74,65,61,69,16,67,8,74
2024-06-01,74,75,62,69,15,63,8,75
2024-07-01,68,67,62,68,14,66,9,71
2024-08-01,66,77,57,75,10,65,8,63
2024-09-01,72,69,61,81,18,60,8,60
2024-10-01,75,67,67,66,26,70,8,60
2024-11-01,69,64,62,75,24,64,8,61
2024-12-01,76,63,58,77,63,78,9,58
2025-01-01,71,60,62,69,53,100,9,62
2025-02-01,69,65,63,73,31,79,9,64
2025-03-01,76,69,60,75,26,79,8,65
2025-04-01,76,74,63,74,17,77,8,74
2025-05-01,73,79,65,75,13,77,8,75
2025-06-01,65,78,63,66,13,70,8,69
