Region,Year,Population
East,2019,6240418
East,2019,6240418
East,2020,6277257
East,2020,6277257
East,2021,6312980
East,2021,6312980
East,2022,6346768
East,2022,6346768
East,2023,6378393
East,2023,6378393
East,2024,6408246
East,2024,6408246
East,2025,6435995
East,2025,6435995
East Midlands,2019,4844628
East Midlands,2019,4844628
East Midlands,2020,4882230
East Midlands,2020,4882230
East Midlands,2021,4917711
East Midlands,2021,4917711
East Midlands,2022,4951587
East Midlands,2022,4951587
East Midlands,2023,4984600
East Midlands,2023,4984600
East Midlands,2024,5017011
East Midlands,2024,5017011
East Midlands,2025,5048383
East Midlands,2025,5048383
London,2019,8977525
London,2019,8977525
London,2020,9039387
London,2020,9039387
London,2021,9095460
London,2021,9095460
London,2022,9145213
London,2022,9145213
London,2023,9188319
London,2023,9188319
London,2024,9224539
London,2024,9224539
London,2025,9255001
London,2025,9255001
North East,2019,2667129
North East,2019,2667129
North East,2020,2674569
North East,2020,2674569
North East,2021,2681149
North East,2021,2681149
North East,2022,2687238
North East,2022,2687238
North East,2023,2693064
North East,2023,2693064
North East,2024,2698669
North East,2024,2698669
North East,2025,2703998
North East,2025,2703998
North West,2019,7329535
North West,2019,7329535
North West,2020,7363337
North West,2020,7363337
North West,2021,7395095
North West,2021,7395095
North West,2022,7425160
North West,2022,7425160
North West,2023,7453802
North West,2023,7453802
North West,2024,7481038
North West,2024,7481038
North West,2025,7506991
North West,2025,7506991
South East,2019,9186742
South East,2019,9186742
South East,2020,9235984
South East,2020,9235984
South East,2021,9282327
South East,2021,9282327
South East,2022,9325973
South East,2022,9325973
South East,2023,9366792
South East,2023,9366792
South East,2024,9405255
South East,2024,9405255
South East,2025,9440911
South East,2025,9440911
South West,2019,5646597
South West,2019,5646597
South West,2020,5691686
South West,2020,5691686
South West,2021,5731099
South West,2021,5731099
South West,2022,5769337
South West,2022,5769337
South West,2023,5806943
South West,2023,5806943
South West,2024,5843885
South West,2024,5843885
South West,2025,5879878
South West,2025,5879878
West Midlands,2019,5945140
West Midlands,2019,5945140
West Midlands,2020,5985917
West Midlands,2020,5985917
West Midlands,2021,6024809
West Midlands,2021,6024809
West Midlands,2022,6062193
West Midlands,2022,6062193
West Midlands,2023,6097978
West Midlands,2023,6097978
West Midlands,2024,6132441
West Midlands,2024,6132441
West Midlands,2025,6165755
West Midlands,2025,6165755
Yorkshire and The Humber,2019,5505361
Yorkshire and The Humber,2019,5505361
Yorkshire and The Humber,2020,5528101
Yorkshire and The Humber,2020,5528101
Yorkshire and The Humber,2021,5548942
Yorkshire and The Humber,2021,5548942
Yorkshire and The Humber,2022,5568636
Yorkshire and The Humber,2022,5568636
Yorkshire and The Humber,2023,5587635
Yorkshire and The Humber,2023,5587635
Yorkshire and The Humber,2024,5605798
Yorkshire and The Humber,2024,5605798
Yorkshire and The Humber,2025,5623325
Yorkshire and The Humber,2025,5623325
