Region,Date,Day,Hybrid_Weekly,Hybrid_Daily
East of England,2025-05-19,Monday,53754,9406
East of England,2025-05-20,Tuesday,53754,8869
East of England,2025-05-21,Wednesday,53754,8331
East of England,2025-05-22,Thursday,53754,7794
East of England,2025-05-23,Friday,53754,7256
East of England,2025-05-24,Saturday,53754,5912
East of England,2025-05-25,Sunday,53754,6186
London,2025-05-19,Monday,94351,16511
London,2025-05-20,Tuesday,94351,15567
London,2025-05-21,Wednesday,94351,14624
London,2025-05-22,Thursday,94351,13680
London,2025-05-23,Friday,94351,12737
London,2025-05-24,Saturday,94351,10378
London,2025-05-25,Sunday,94351,10854
Midlands,2025-05-19,Monday,94980,16621
Midlands,2025-05-20,Tuesday,94980,15671
Midlands,2025-05-21,Wednesday,94980,14721
Midlands,2025-05-22,Thursday,94980,13772
Midlands,2025-05-23,Friday,94980,12822
Midlands,2025-05-24,Saturday,94980,10447
Midlands,2025-05-25,Sunday,94980,10926
North East and Yorkshire,2025-05-19,Monday,77676,13593
North East and Yorkshire,2025-05-20,Tuesday,77676,12816
North East and Yorkshire,2025-05-21,Wednesday,77676,12039
North East and Yorkshire,2025-05-22,Thursday,77676,11263
North East and Yorkshire,2025-05-23,Friday,77676,10486
North East and Yorkshire,2025-05-24,Saturday,77676,8544
North East and Yorkshire,2025-05-25,Sunday,77676,8935
North West,2025-05-19,Monday,71484,12509
North West,2025-05-20,Tuesday,71484,11794
North West,2025-05-21,Wednesday,71484,11080
North West,2025-05-22,Thursday,71484,10365
North West,2025-05-23,Friday,71484,9650
North West,2025-05-24,Saturday,71484,7863
North West,2025-05-25,Sunday,71484,8223
South East,2025-05-19,Monday,81147,14200
South East,2025-05-20,Tuesday,81147,13389
South East,2025-05-21,Wednesday,81147,12577
South East,2025-05-22,Thursday,81147,11766
South East,2025-05-23,Friday,81147,10954
South East,2025-05-24,Saturday,81147,8926
South East,2025-05-25,Sunday,81147,9335
South West,2025-05-19,Monday,46241,8092
South West,2025-05-20,Tuesday,46241,7629
South West,2025-05-21,Wednesday,46241,7167
South West,2025-05-22,Thursday,46241,6704
South West,2025-05-23,Friday,46241,6242
South West,2025-05-24,Saturday,46241,5086
South West,2025-05-25,Sunday,46241,5321
