Region,ISO_Week,Date,Day,ML_Weekly,LSTM_Weekly,Hybrid_Weekly,Hybrid_Daily
East of England,2025-W18,2025-04-28,Monday,51643,58144,53593,9378
East of England,2025-W18,2025-04-29,Tuesday,51643,58144,53593,8842
East of England,2025-W18,2025-04-30,Wednesday,51643,58144,53593,8306
East of England,2025-W18,2025-05-01,Thursday,51643,58144,53593,7770
East of England,2025-W18,2025-05-02,Friday,51643,58144,53593,7235
East of England,2025-W18,2025-05-03,Saturday,51643,58144,53593,5895
East of England,2025-W18,2025-05-04,Sunday,51643,58144,53593,6167
London,2025-W18,2025-04-28,Monday,92122,102540,95247,16668
London,2025-W18,2025-04-29,Tuesday,92122,102540,95247,15715
London,2025-W18,2025-04-30,Wednesday,92122,102540,95247,14763
London,2025-W18,2025-05-01,Thursday,92122,102540,95247,13810
London,2025-W18,2025-05-02,Friday,92122,102540,95247,12858
London,2025-W18,2025-05-03,Saturday,92122,102540,95247,10477
London,2025-W18,2025-05-04,Sunday,92122,102540,95247,10956
Midlands,2025-W18,2025-04-28,Monday,91546,102252,94758,16582
Midlands,2025-W18,2025-04-29,Tuesday,91546,102252,94758,15635
Midlands,2025-W18,2025-04-30,Wednesday,91546,102252,94758,14687
Midlands,2025-W18,2025-05-01,Thursday,91546,102252,94758,13739
Midlands,2025-W18,2025-05-02,Friday,91546,102252,94758,12792
Midlands,2025-W18,2025-05-03,Saturday,91546,102252,94758,10423
Midlands,2025-W18,2025-05-04,Sunday,91546,102252,94758,10900
North East and Yorkshire,2025-W18,2025-04-28,Monday,73822,86153,77522,13566
North East and Yorkshire,2025-W18,2025-04-29,Tuesday,73822,86153,77522,12791
North East and Yorkshire,2025-W18,2025-04-30,Wednesday,73822,86153,77522,12015
North East and Yorkshire,2025-W18,2025-05-01,Thursday,73822,86153,77522,11240
North East and Yorkshire,2025-W18,2025-05-02,Friday,73822,86153,77522,10465
North East and Yorkshire,2025-W18,2025-05-03,Saturday,73822,86153,77522,8527
North East and Yorkshire,2025-W18,2025-05-04,Sunday,73822,86153,77522,8918
North West,2025-W18,2025-04-28,Monday,67090,78064,70382,12316
North West,2025-W18,2025-04-29,Tuesday,67090,78064,70382,11613
North West,2025-W18,2025-04-30,Wednesday,67090,78064,70382,10909
North West,2025-W18,2025-05-01,Thursday,67090,78064,70382,10205
North West,2025-W18,2025-05-02,Friday,67090,78064,70382,9501
North West,2025-W18,2025-05-03,Saturday,67090,78064,70382,7742
North West,2025-W18,2025-05-04,Sunday,67090,78064,70382,8096
South East,2025-W18,2025-04-28,Monday,72990,86382,77008,13476
South East,2025-W18,2025-04-29,Tuesday,72990,86382,77008,12706
South East,2025-W18,2025-04-30,Wednesday,72990,86382,77008,11936
South East,2025-W18,2025-05-01,Thursday,72990,86382,77008,11166
South East,2025-W18,2025-05-02,Friday,72990,86382,77008,10396
South East,2025-W18,2025-05-03,Saturday,72990,86382,77008,8470
South East,2025-W18,2025-05-04,Sunday,72990,86382,77008,8858
South West,2025-W18,2025-04-28,Monday,42688,48664,44481,7784
South West,2025-W18,2025-04-29,Tuesday,42688,48664,44481,7339
South West,2025-W18,2025-04-30,Wednesday,42688,48664,44481,6894
South West,2025-W18,2025-05-01,Thursday,42688,48664,44481,6449
South West,2025-W18,2025-05-02,Friday,42688,48664,44481,6004
South West,2025-W18,2025-05-03,Saturday,42688,48664,44481,4892
South West,2025-W18,2025-05-04,Sunday,42688,48664,44481,5119
